epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,34.0781,0.61233,1.03853,0.94453,0.88383,0.95783,0.98944,0.8795,0.53886,0.77834,0.86356,0.0004555,0.0004555,0.0004555
57,34.6771,0.65263,1.0281,0.95673,0.8986,0.98076,0.995,0.91062,0.49742,0.75885,0.85085,0.0004456,0.0004456,0.0004456
58,35.2621,0.61295,1.01435,0.95986,0.8986,0.98076,0.995,0.91062,0.49742,0.75885,0.85085,0.0004357,0.0004357,0.0004357
59,35.8501,0.63897,0.96859,0.93333,0.8986,0.98076,0.995,0.91062,0.49742,0.75885,0.85085,0.0004258,0.0004258,0.0004258
60,36.4591,0.60373,0.94328,0.9575,0.93924,0.95973,0.995,0.90446,0.4943,0.73941,0.84643,0.0004159,0.0004159,0.0004159
61,37.0521,0.62815,0.92455,0.92508,0.93924,0.95973,0.995,0.90446,0.4943,0.73941,0.84643,0.000406,0.000406,0.000406
62,37.6211,0.58473,0.98588,0.9163,0.93924,0.95973,0.995,0.90446,0.4943,0.73941,0.84643,0.0003961,0.0003961,0.0003961
63,38.2171,0.65288,1.04469,0.93125,0.93475,0.98577,0.995,0.9079,0.49012,0.71953,0.84738,0.0003862,0.0003862,0.0003862
64,38.7981,0.59486,0.95455,0.96948,0.93475,0.98577,0.995,0.9079,0.49012,0.71953,0.84738,0.0003763,0.0003763,0.0003763
65,39.4021,0.63681,1.06238,0.99155,0.92464,0.9815,0.995,0.91353,0.48245,0.71603,0.84102,0.0003664,0.0003664,0.0003664
66,39.9821,0.68801,1.03608,0.94879,0.92464,0.9815,0.995,0.91353,0.48245,0.71603,0.84102,0.0003565,0.0003565,0.0003565
67,40.5651,0.61246,0.95523,0.94285,0.92464,0.9815,0.995,0.91353,0.48245,0.71603,0.84102,0.0003466,0.0003466,0.0003466
68,41.1691,0.66679,1.06326,0.96779,0.89914,0.9838,0.995,0.91081,0.4766,0.70356,0.83772,0.0003367,0.0003367,0.0003367
69,41.7441,0.62524,1.01216,0.92719,0.89914,0.9838,0.995,0.91081,0.4766,0.70356,0.83772,0.0003268,0.0003268,0.0003268
70,42.3291,0.62872,0.99386,0.97148,0.89914,0.9838,0.995,0.91081,0.4766,0.70356,0.83772,0.0003169,0.0003169,0.0003169
71,42.9301,0.5992,0.94917,0.92759,0.91204,0.96717,0.995,0.91356,0.45521,0.682,0.83573,0.000307,0.000307,0.000307
72,43.5261,0.62233,0.95605,0.97036,0.91204,0.96717,0.995,0.91356,0.45521,0.682,0.83573,0.0002971,0.0002971,0.0002971
73,44.1531,0.63441,0.92833,0.94029,0.91314,0.90718,0.995,0.91441,0.44697,0.69509,0.83733,0.0002872,0.0002872,0.0002872
74,44.7401,0.59362,0.84499,0.91898,0.91314,0.90718,0.995,0.91441,0.44697,0.69509,0.83733,0.0002773,0.0002773,0.0002773
75,45.3301,0.60528,0.87158,0.91781,0.91314,0.90718,0.995,0.91441,0.44697,0.69509,0.83733,0.0002674,0.0002674,0.0002674
76,45.9401,0.61844,0.92715,0.93624,0.98414,0.83333,0.995,0.91105,0.44174,0.7303,0.83348,0.0002575,0.0002575,0.0002575
77,46.5191,0.53417,0.83554,0.9165,0.98414,0.83333,0.995,0.91105,0.44174,0.7303,0.83348,0.0002476,0.0002476,0.0002476
78,47.0951,0.58162,0.85688,0.93231,0.98414,0.83333,0.995,0.91105,0.44174,0.7303,0.83348,0.0002377,0.0002377,0.0002377
79,47.7161,0.60307,0.83707,0.94635,0.98083,0.83333,0.995,0.90741,0.44324,0.79998,0.82771,0.0002278,0.0002278,0.0002278
80,48.3031,0.66317,0.89644,0.96397,0.98083,0.83333,0.995,0.90741,0.44324,0.79998,0.82771,0.0002179,0.0002179,0.0002179
81,48.9141,0.66173,0.89852,0.96942,0.9683,0.80871,0.99119,0.9029,0.44515,0.90021,0.82163,0.000208,0.000208,0.000208
82,49.5031,0.61805,0.88251,0.91807,0.9683,0.80871,0.99119,0.9029,0.44515,0.90021,0.82163,0.0001981,0.0001981,0.0001981
83,50.0811,0.65256,0.88492,0.90652,0.9683,0.80871,0.99119,0.9029,0.44515,0.90021,0.82163,0.0001882,0.0001882,0.0001882
84,50.6731,0.526,0.85282,0.90687,0.96876,0.78528,0.99119,0.90441,0.44122,0.90799,0.81493,0.0001783,0.0001783,0.0001783
85,51.2501,0.62843,0.81855,0.93034,0.96876,0.78528,0.99119,0.90441,0.44122,0.90799,0.81493,0.0001684,0.0001684,0.0001684
86,51.8251,0.61611,0.94258,0.92394,0.96876,0.78528,0.99119,0.90441,0.44122,0.90799,0.81493,0.0001585,0.0001585,0.0001585
87,52.4261,0.58437,0.92982,0.9244,0.96665,0.78498,0.995,0.90516,0.44041,0.83439,0.81245,0.0001486,0.0001486,0.0001486
88,53.0031,0.55561,0.73825,0.90705,0.96665,0.78498,0.995,0.90516,0.44041,0.83439,0.81245,0.0001387,0.0001387,0.0001387
89,53.6021,0.55816,0.87326,0.89904,0.82494,0.87014,0.995,0.9116,0.43906,0.76782,0.81222,0.0001288,0.0001288,0.0001288
90,54.1801,0.59125,0.83593,0.90833,0.82494,0.87014,0.995,0.9116,0.43906,0.76782,0.81222,0.0001189,0.0001189,0.0001189
91,66.6271,0.50512,0.7515,0.88018,0.82494,0.87014,0.995,0.9116,0.43906,0.76782,0.81222,0.000109,0.000109,0.000109
92,67.2411,0.50082,0.74892,0.86084,0.84022,0.92083,0.995,0.90985,0.43455,0.69051,0.81145,9.91e-05,9.91e-05,9.91e-05
93,67.8141,0.50785,0.74244,0.86524,0.84022,0.92083,0.995,0.90985,0.43455,0.69051,0.81145,8.92e-05,8.92e-05,8.92e-05
94,68.3901,0.51247,0.88485,0.87542,0.84022,0.92083,0.995,0.90985,0.43455,0.69051,0.81145,7.93e-05,7.93e-05,7.93e-05
95,68.9831,0.50537,0.72662,0.90284,0.90997,0.91893,0.995,0.92074,0.42974,0.63116,0.81379,6.94e-05,6.94e-05,6.94e-05
96,69.5631,0.47991,0.71597,0.87477,0.90997,0.91893,0.995,0.92074,0.42974,0.63116,0.81379,5.95e-05,5.95e-05,5.95e-05
97,70.1861,0.51065,0.80142,0.88601,0.9278,0.91996,0.995,0.91876,0.42156,0.59912,0.81598,4.96e-05,4.96e-05,4.96e-05
98,70.7561,0.5192,0.78007,0.89117,0.9278,0.91996,0.995,0.91876,0.42156,0.59912,0.81598,3.97e-05,3.97e-05,3.97e-05
99,71.3371,0.4676,0.77613,0.86258,0.9278,0.91996,0.995,0.91876,0.42156,0.59912,0.81598,2.98e-05,2.98e-05,2.98e-05
100,71.9651,0.51054,0.75402,0.90777,0.94072,0.91947,0.995,0.91749,0.416,0.58445,0.81637,1.99e-05,1.99e-05,1.99e-05
